AFNLWGT,AGI,EMCONTRB,FEDTAX,PTOTVAL,STATETAX,TAXINC,POTHVAL,INTVAL,PEARNVAL,FICA,WSALVAL,ERNVAL
273568.1629064097,37668.127342066175,19722.107934073778,894.4628881329218,38917.55250638673,5217.277291502762,25871.627536042353,-4139.854358290088,1971.1321918497404,47980.98150774354,3326.6815735536347,43070.21808812684,41926.84421412764
259909.1174120343,52039.542716706164,4412.178237347817,8993.597857708099,51989.45922250717,-2995.0979485093194,40428.46290893277,-505.12611897069246,6457.462004801928,52023.75226973164,8828.998734192446,47566.806397930355,38264.769901615524
295725.7345276683,53813.24963163105,7083.068250116359,53.40305875416925,67877.25464779096,-5571.682184371082,35253.04342796446,-5843.618496915267,-3894.8106115697483,55266.81214412917,10232.81767228548,61333.32419625812,58196.53875058423
161288.67862061015,42198.11363069985,-2731.2583983962813,-607.8501626142997,23647.172447185287,6718.244044312468,30825.7843329375,-3479.545574469853,2778.386388674618,35174.6427256536,7162.573333304797,30227.502275891406,24463.91733329251
172740.89467780502,41495.14930576607,576.4947103995728,323.4095363659799,12075.848961127043,11555.560725446094,31363.771549535522,-737.3637184220461,-6517.2350179146015,16127.826637934664,6519.3875311786815,23713.454213252866,24752.970455199276
201531.06763432696,30813.782394196318,-6210.287746270562,-110.37605140983487,37420.919169714136,-5585.663310787765,16672.726037185006,8387.87042452696,1715.6094306123264,38509.59907089665,5109.438635156323,33351.62773314164,37206.5206235825
179413.53535263965,6055.388640300083,1088.6411614007652,-65.42915147269906,11290.74732501308,-1631.6205821163069,-4925.126161810034,659.6934696075105,4559.783319356921,6617.692760419428,-904.2693215551774,13994.954655328182,16904.929531064983
255578.99031673814,22812.91340264023,2684.346985168915,5709.30961418507,30232.068632090035,5243.524311945745,2839.530896310276,703.7871892888024,-6795.21441207785,18256.256780360534,-6636.892914472224,23181.264891364375,20035.368972744564
178075.78932854868,87538.19227609332,17651.879321217108,21338.09467135901,93793.0625172393,10575.07568962091,70564.2507426025,16239.206868017292,6496.339183289514,79345.009777796,12653.799804945884,85395.48717743819,91659.32215494648
255233.7363676748,76934.55776755667,1709.1207918089249,19576.472123011197,40598.59190761155,-2556.501776766595,48785.39487489462,6240.279334573492,9453.492779369912,40345.48713522549,2291.847957509517,41837.739211362285,48976.311308334014
271827.722961255,43624.53124096086,4541.067767097995,3549.822427809989,27293.406947128,6078.957303072858,20433.773660096165,-2911.4213023949005,15164.471384887038,23667.674102087178,2774.30709109037,25699.81617095493,17289.051755909928
285712.8477920038,62151.80291480579,-9293.748391545028,5141.079465315713,59321.26032821386,10292.893602266808,38942.94552352158,18826.122920978807,10058.164637954307,35201.86126060495,3274.825619630673,37823.466754637986,40726.720263351315
