AFNLWGT,AGI,EMCONTRB,FEDTAX,PTOTVAL,STATETAX,TAXINC,POTHVAL,INTVAL,PEARNVAL,FICA,WSALVAL,ERNVAL
276125.8615110184,46605.784358245604,2954.030015573813,7037.729095886271,42599.80439655153,-1483.6204612921015,29871.8314467432,-2618.411173928566,2156.29393246093,43189.58028684442,954.9664230658609,47027.471286252,47791.10868354765
255085.65975477567,58462.08868012173,1176.7908746376827,6744.1472224229565,39253.83806610788,3631.5749198878866,44908.545755217805,6017.426007653265,2656.053255446529,46503.59690899684,1343.2927794400293,42783.81875196753,45224.12275323714
297707.53858913935,56383.19118287834,7466.798405363646,6556.36287089328,57362.47846216366,-36.37861104137937,28953.96768377263,-3340.517667389171,3185.4527389412287,55543.20520435337,5117.489168424131,57190.5730554777,56548.63090246112
165100.82293537937,37823.4176639647,1796.024431070743,5545.28590671504,25354.084152667678,-2619.448666651031,31496.208840656738,855.9493924306535,-301.29707178523677,20344.32243467104,891.1463280759185,20510.606057879795,28359.732757057554
181295.91090187215,41107.38262540018,6341.04716510907,3935.7864857597783,28051.26618522878,-634.5729927832645,34291.79034123373,-1538.4372027772201,150.86490290245374,23658.115884520666,-1938.9943914256482,21401.880628597064,18201.644759948027
193220.09826558165,27809.936609927263,2754.9996099201126,1141.3489192934023,31553.63859667777,1152.433263670954,14859.698207895615,-355.541403095801,-49.818176689886755,29033.28301918392,1649.2791424831257,34698.468850960206,33674.43978771379
173583.83000098777,17463.353907417997,-3292.781067112709,-721.1407530730394,4495.4628254686595,-593.1942875786004,-4332.810322525186,-2414.3019323154667,-3893.9273323843927,8933.088194059634,-1730.4132339819607,8637.593573603237,8598.290162598523
257938.59851100188,26465.581647973206,4746.811203825805,-4325.131565099606,24005.018633643653,6620.907967522386,4250.029134353398,671.6619928756969,-180.9936319816483,23746.967703394064,-260.4162899864218,27747.356964483326,29846.65431934288
179145.99136924042,93262.2521514977,3648.5534185681554,15554.031860930285,94674.02631095493,2919.024516192349,66887.32259435006,11303.02466692488,5932.802447825295,94386.67006752247,6148.909101525492,90535.42637195572,90267.34971923202
252281.25450123101,70970.8702828992,1197.9116908065976,11440.366529964265,47159.08457038957,4823.735573457642,49517.83997002065,2654.790799793139,2983.370031727358,45181.607532961534,8260.28461947486,42951.56713298701,38692.90289481523
268595.68986322987,33658.7678983147,193.61351492744097,4273.917421094652,20832.11404579682,1494.2679745269152,19648.896373066596,1830.8381927172252,1567.3789235462773,15563.094516538204,-1352.5957339936708,22762.44801636369,24048.613074030633
279429.64871709043,55427.1616684004,-479.48943119433306,5657.994043691224,56863.6288715193,-3051.0641162247457,38693.303570085634,8823.947425493756,19176.300933973747,40767.736217012,1016.0032602690878,39000.831155122025,41838.129536272376
183699.64880173816,6540.365920053304,1302.0217779587492,155.57489698852217,10884.570262123034,3262.421218775878,1521.1848305433116,4225.117420894065,-2022.8980380013427,3947.4454586147704,4131.720516898081,3188.513129244107,662.2525064098654
246521.55059091118,73747.94167702264,4127.94476588161,6879.514669747121,36426.827662977084,3979.8073809212165,53699.58480023844,7944.180618535192,1192.3375494545714,39466.55282164441,-1029.5138384067131,32718.083418714334,34871.21004695521
343279.0658743806,22477.807758612093,-998.685587166427,1503.445664825028,11138.153516518309,-419.4380252640658,6612.404250352575,3840.075934181973,-7439.121253973294,10885.336151633295,900.0493551997162,4282.347991929809,6551.618933334985
200647.8238045066,59955.56913697071,6786.937908002387,5375.067624237894,42092.582320160145,-1237.0235048220884,41350.946803408806,3806.9636581939217,-855.7144661898421,38367.718455669914,8809.01531851375,45418.67998972338,38209.71479044004
199366.05013388576,59053.78277763878,273.64100753152934,9528.386915163206,25530.127043974364,1026.537510493909,42964.11650875401,6406.562618461271,6482.167159896642,27024.660914631604,-1911.5578751885514,23015.656766467848,23151.443021890154
201174.3089630913,16881.32926624303,1339.7688645334833,109.45311913929243,14332.358671314994,1818.0435430818766,4365.362959284956,-2943.476636810741,4904.190145460701,15565.031084558066,2265.712956200601,17381.214024898243,15600.021976707878
279814.3889188387,39493.87986962201,-1346.8045506469753,1480.99262726494,34925.77175262312,3937.672394960407,25791.230147752227,-1931.8859743188182,-5733.3730436159885,44773.79575162732,5892.205366149225,43550.97869910912,38595.507375722525
245200.8139320839,12833.343023924439,5101.87214699622,-1550.8628787132288,20666.373750209288,2062.127167744835,2367.7147069289394,13646.405306022207,3112.236076015971,8795.102866785002,-2383.084556820511,15779.19574609061,10662.218201815136
278866.6116824034,97525.92104421329,87.81281447315587,14016.14354873073,31754.1635757943,2864.1156857938763,77413.16535420985,-240.33214415235636,-2483.089571729838,33779.03161522602,5214.816349566862,34749.709554044246,32641.983407880125
269681.20584113087,49736.25519150538,1311.2726644284292,4033.9495472863814,37698.19597280954,4733.004249967264,36651.28871748229,4222.200005425227,2104.3159953698128,38084.274764938615,3874.6559999663223,38296.6306559051,34778.42517752106
248050.91900687205,66624.49843263545,-2710.570680340382,6024.043233580202,33732.49452889668,-436.9473654421322,48124.22708878921,2850.73370309187,-2146.618079530494,36099.46327440123,3884.257328599804,39207.742121081625,39754.770781708234
184923.62384013904,41663.83670482865,3855.2777422615154,682.4351384048598,45048.49367691861,3080.3634624976726,11352.986208219669,2423.9502349115432,381.1934590960091,44264.686622874295,3618.3535265299574,38676.21636929655,44744.82398410084
200336.56037555693,54814.13558981396,3464.581313678,7453.007975072178,38742.740411937004,96.90853837025816,41899.14479317931,1491.9906948016844,7574.311463021314,38659.56609194892,-1450.7740534386057,37227.98553712956,33037.58444954939
185653.82953197413,41660.608321627165,3694.1221540940614,5109.331759082281,24838.048699313942,1752.855497364178,28469.36183633059,4705.219642304214,-423.33682173107223,29020.182519933758,406.8349986304129,29083.538334767323,27119.663742461755
174851.85950682528,27868.693808474356,399.4256553738185,2660.896066045804,20958.664894971447,685.3971145626158,9032.444722475135,15610.986632255235,1341.885311997481,4787.502561759062,4383.869087251605,8688.843885011513,4599.289652269912
